class,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1,0.00154,0.554,242280,0.932,0.000142,5,0.425,-3.424,0,0.0484,112.49,4,0.478
1,0.00494,0.547,233827,0.87,3.48e-05,11,0.161,-5.098,0,0.0286,99.014,4,0.514
1,0.00349,0.447,224597,0.966,0.000198,7,0.312,-2.966,1,0.089,178.105,4,0.533
1,5.86e-05,0.391,200547,0.963,0.0689,10,0.14,-4.378,0,0.0773,167.065,4,0.364
1,0.0175,0.425,321040,0.852,0.306,11,0.0935,-5.607,1,0.046,101.968,4,0.512
1,0.0014,0.309,231533,0.912,0.000271,4,0.582,-3.881,0,0.0646,183.035,3,0.302
1,0.00178,0.674,121160,0.789,0.0071,8,0.0754,-6.903,1,0.0676,129.804,4,0.918
1,0.0299,0.708,191800,0.737,0.0804,11,0.101,-6.665,0,0.0943,132.612,4,0.476
1,0.0204,0.488,257827,0.862,0.0,0,0.359,-7.595,1,0.0476,104.56,4,0.706
1,0.00189,0.509,264707,0.774,0.000549,6,0.143,-4.054,1,0.0338,116.529,4,0.0824
1,0.0576,0.559,264307,0.345,0.000105,4,0.141,-13.496,1,0.0459,84.581,4,0.458
1,0.00172,0.542,203347,0.905,0.0104,9,0.136,-5.653,1,0.054,153.398,4,0.374
1,0.00131,0.615,193893,0.949,3.04e-06,8,0.0585,-3.52,1,0.0549,131.985,4,0.586
1,0.00461,0.498,231480,0.83,0.0,6,0.139,-5.157,0,0.0421,89.342,4,0.453
1,0.0417,0.545,282947,0.753,0.0,3,0.389,-4.618,0,0.036,105.754,4,0.434
1,0.0801,0.451,356080,0.911,0.146,6,0.236,-7.765,1,0.0466,125.122,4,0.63
1,0.00898,0.499,229093,0.824,0.0,7,0.163,-4.741,1,0.0794,161.977,4,0.699
1,0.000376,0.585,304880,0.887,0.0518,3,0.132,-5.086,0,0.0362,118.035,4,0.711
1,0.0287,0.676,183200,0.762,1.47e-06,1,0.171,-5.112,0,0.0426,90.399,4,0.565
1,0.00834,0.563,256240,0.86,0.0106,8,0.39,-7.533,1,0.0621,97.867,4,0.517
1,5.91e-06,0.382,298253,0.867,0.581,9,0.196,-7.426,1,0.0399,87.309,4,0.453
1,0.000552,0.214,193613,0.947,0.00352,4,0.238,-5.053,1,0.0507,170.616,4,0.483
1,0.00014,0.468,270920,0.769,0.00124,4,0.271,-7.036,1,0.041,104.102,4,0.17
1,0.00178,0.394,292581,0.944,4.54e-06,10,0.298,-6.506,0,0.0761,105.338,4,0.265
1,0.000332,0.305,206773,0.832,2.4e-05,6,0.091,-7.981,1,0.0398,100.677,4,0.585
1,0.000172,0.492,285570,0.896,2.78e-06,4,0.189,-5.819,0,0.117,184.981,4,0.534
1,0.000249,0.269,299533,0.853,0.000246,7,0.118,-4.647,0,0.0854,141.581,4,0.179
1,0.0817,0.354,471160,0.731,0.00119,2,0.115,-9.178,1,0.0381,170.64,4,0.698
1,0.0865,0.432,204560,0.824,0.000427,6,0.288,-9.518,1,0.189,122.299,4,0.701
1,0.00101,0.676,269360,0.92,8.65e-06,9,0.248,-7.96,1,0.0435,126.341,4,0.624
1,0.00224,0.529,210880,0.768,0.000685,7,0.297,-5.51,1,0.0566,127.316,4,0.769
